player_name,team,position,2025,last30
Dominic Canzone,SEA,OF,2.0407904001966894,
Alex Call,LAD,OF,2.028576433174721,
Jake Burger,TEX,1B/3B/DH,1.7590018607483562,
Eli White,ATL,OF,1.7455873899960617,
Jared Triolo,PIT,1B/2B/3B/SS,1.6962994180661928,
Alek Thomas,ARI,OF,1.6952632171523099,
Yoan Moncada,LAA,3B,1.6852292379693097,
Rhys Hoskins,MIL,1B/DH,1.5902324815028857,
Evan Carter,TEX,OF,1.510248768908951,
Pavin Smith,ARI,1B/OF/DH,1.4803375696795957,
Tommy Edman,LAD,2B/OF,1.2528420927669872,
Luke Keaschall,MIN,2B,1.196026577636554,
Angel Martinez,CLE,2B/OF,1.1506551160972467,
Jake Bauers,MIL,1B/OF/DH,1.0293826778609758,
Davis Schneider,TOR,2B/OF,1.0,
Rowdy Tellez,TEX,1B,1.0,
Connor Norby,MIA,3B,1.0,
Dane Myers,MIA,OF,1.0,
Dylan Moore,TEX,1B/2B/3B/SS/OF,1.0,
Tyler Heineman,TOR,C,1.0,
Elias Diaz,SDP,C,0.8007562240500912,
Taylor Walls,TBR,SS,0.742641797988369,
Rob Refsnyder,BOS,OF/DH,0.5939420101654294,
Ezequiel Tovar,COL,SS,0.45961761620102926,
Freddy Fermin,SDP,C/DH,0.242694932169499,
Jordan Walker,STL,OF,0.21045101754503348,
Edmundo Sosa,PHI,2B/3B/SS,0.13444879237774232,
David Hamilton,BOS,2B/SS,0.10554960366795585,
Brayan Rocchio,CLE,2B/SS,-0.016875843663134216,
Jacob Young,WSN,OF,-0.19949943818113858,
Andres Gimenez,TOR,2B,-0.3425783940032743,
Miguel Rojas,LAD,2B/3B/SS,-0.39477048831053496,
Christopher Morel,TBR,2B/3B/OF/DH,-0.4787394229848856,
Will Benson,CIN,OF,-0.48607549793180826,
Blaze Alexander,ARI,2B/3B/SS,-0.7889648202706765,
Casey Schmitt,SFG,2B/3B,-0.9084819350869335,
Ramon Urias,HOU,2B/3B,-1.0863436615903694,
Brooks Baldwin,CHW,2B/OF,-1.1031527195623,
Nolan Jones,CLE,OF,-1.144146847466181,
Kyle Isbel,KCR,OF,-1.2693893242743153,
Mauricio Dubon,HOU,1B/2B/3B/SS/OF,-1.2765417226323499,
Austin Wynns,OAK,C,-1.2828800023008262,
Miguel Amaya,CHC,C,-1.3329987922252218,
Luis Torrens,NYM,C,-1.3357641899355057,
Reese McGuire,CHC,C,-1.3601566838392993,
James McCann,ARI,C,-1.3948201490543886,
Jorge Soler,LAA,OF/DH,-1.4373260317482974,
Jake Fraley,ATL,OF,-1.4505819554311685,
Javier Sanoja,MIA,2B/3B/OF,-1.478307993942685,
Riley Adams,WSN,C,-1.5181371294096282,
Gary Sanchez,BAL,C/DH,-1.5978931161976666,
Michael A. Taylor,CHW,OF,-1.6292686967259211,
Nick Fortes,TBR,C,-1.6869354479636995,
Jahmai Jones,DET,OF/DH,-1.68794047956484,
Sam Haggerty,TEX,OF,-1.827605943255592,
Matt Thaiss,TBR,C,-1.8749337504993253,
Coby Mayo,BAL,1B,-2.098474078293515,
Tyler Tolbert,KCR,OF,-2.1893645267576356,
Jose Trevino,CIN,C,-2.2084809798992535,
David Fry,CLE,C/1B/OF/DH,-2.3155717890676613,
Dominic Smith,SFG,1B,-2.3479633527817234,
Carter Jensen,KCR,C/DH,-2.4507618381548317,
Jose Iglesias,SDP,2B/3B/SS,-2.451628855585283,
Tyrone Taylor,NYM,OF,-2.455691606646076,
Yordan Alvarez,HOU,OF/DH,-2.4627080601551947,
Tyler O'Neill,BAL,OF/DH,-2.858143353898664,
Austin Martin,MIN,OF,-2.9502332873653203,
Dalton Rushing,LAD,C,-2.9594941047474648,
Ryan Mountcastle,BAL,1B/DH,-2.9689586559670924,
Nick Gonzales,PIT,2B/SS,-2.9858759093856144,
Moises Ballesteros,CHC,C/1B/DH,-3.00729490767137,
Henry Davis,PIT,C,-3.093809883480211,
Otto Kemp,PHI,3B,-3.11543777270081,
Jose Herrera,ARI,C,-3.202808092985226,
Yohel Pozo,STL,C,-3.2302102800009465,
Alex Jackson,BAL,C,-3.2645104266674467,
Keibert Ruiz,WSN,C,-3.340985914167071,
Abraham Toro,BOS,1B/3B,-3.3972111631442274,
Jake Rogers,DET,C,-3.41520955831097,
Kameron Misner,TBR,OF,-3.4962242458686354,
Randal Grichuk,KCR,OF/DH,-3.5803128467069483,
Travis d'Arnaud,LAA,C,-3.6587488853662835,
Adrian Del Castillo,ARI,C/DH,-3.663336741141551,
Luis Matos,SFG,OF,-3.7964279491258814,
Luis Urias,MIL,2B/3B,-3.8011314972536727,
Blake Perkins,MIL,OF,-3.849940450737451,
Trey Sweeney,DET,SS,-3.934469995816732,
Johan Rojas,PHI,OF,-3.9538075373824046,
Hyeseong Kim,LAD,2B,-3.9867972400677605,
Mickey Gasper,MIN,C/1B/2B/OF/DH,-4.1446965392266,
Tim Tawa,ARI,1B/2B/OF,-4.431175147616345,
Leo Rivas,SEA,2B/SS,-4.433648974922654,
Luisangel Acuna,NYM,2B,-4.441310484605915,
Kyle Farmer,COL,2B/3B/SS/DH,-4.46256347623218,
Ha-seong Kim,ATL,SS,-4.46417556899185,
Ben Williamson,SEA,3B,-4.501491407928413,
Braxton Fulford,COL,C,-4.53667796102789,
Enrique Hernandez,LAD,1B/2B/3B/OF,-4.5797315682936715,
Christian Vazquez,MIN,C,-4.642694393422303,
Luke Raley,SEA,1B/OF,-4.667219176557671,
Eric Haase,MIL,C,-4.671380601838497,
Michael Helman,TEX,OF,-4.757150363813438,
Jeremiah Jackson,BAL,OF,-4.7667380972003714,
Joc Pederson,TEX,DH,-4.77534427560347,
Dylan Beavers,BAL,OF,-4.836654384669741,
Drew Millas,WSN,C,-4.839911226210404,
Rafael Marchan,PHI,C,-4.842533942305472,
Nasim Nunez,WSN,SS,-4.93940522920801,
Samuel Basallo,BAL,C,-4.96414651806335,
Kristian Campbell,BOS,2B,-4.971389537900917,
J.C. Escarra,NYY,C,-4.975396709660337,
Thomas Saggese,STL,2B/3B/SS,-4.980989695588122,
Austin Hedges,CLE,C,-4.986343043290686,
Willie MacIver,OAK,C,-5.027403862107667,
Luke Maile,KCR,C,-5.076893044955271,
Christian Koss,SFG,2B,-5.138613829988733,
Nick Allen,ATL,SS,-5.231887016110298,
Andrew Knizner,SFG,C,-5.281860994165127,
Michael Toglia,COL,1B,-5.285456380171352,
Alexander Canario,PIT,OF,-5.298886470303999,
Korey Lee,CHW,C,-5.338944888427558,
Paul DeJong,WSN,3B/SS,-5.404963244540309,
Martin Maldonado,SDP,C,-5.415974664623771,
Andruw Monasterio,MIL,1B/2B/3B/SS,-5.430370412445154,
Andy Ibanez,DET,1B/2B/3B,-5.528093393910121,
Tyler Fitzgerald,SFG,2B/SS,-5.535417602396144,
Colby Thomas,OAK,OF,-5.560979405423274,
C.J. Kayfus,CLE,OF,-5.594353708819172,
John Rave,KCR,OF,-5.619329753554773,
Parker Meadows,DET,OF,-5.679769366681923,
Amed Rosario,NYY,2B/3B/OF/DH,-5.7788184622368455,
Brady House,WSN,3B,-5.808700677702179,
Max Schuemann,OAK,2B/3B/SS/OF,-5.834326737697488,
Nate Eaton,BOS,OF,-5.851819051645808,
Joey Loperfido,TOR,OF,-5.866083391973285,
Connor Wong,BOS,C,-5.909311205807569,
Curtis Mead,CHW,1B/2B/3B,-5.923084942778397,
Derek Hill,CHW,OF,-6.021265709546829,
Masataka Yoshida,BOS,DH,-6.051159275519508,
Cole Young,SEA,2B,-6.208613199532503,
Brian Navarreto,MIA,C,-6.222001589543464,
Dylan Carlson,BAL,OF,-6.256720832550847,
Ryan Ritter,COL,2B/SS,-6.2780195263086265,
Sam Huff,SFG,C,-6.327631217562601,
Jhonny Pereda,MIN,C,-6.389290803201431,
Weston Wilson,PHI,OF,-6.390623504576361,
Tomas Nido,DET,C,-6.401392895204976,
Ronny Mauricio,NYM,3B,-6.410314898831963,
Brandon Lockridge,MIL,OF,-6.4411193301971705,
Ben Rortvedt,LAD,C,-6.505990457359311,
Kyren Paris,LAA,2B/OF,-6.52299687441465,
Hunter Feduccia,TBR,C,-6.525563441308497,
Troy Johnston,MIA,OF,-6.568342334057283,
Alejandro Osuna,TEX,OF,-6.572713073656972,
Christian Moore,LAA,2B,-6.601091874725667,
Justyn-Henry Malloy,DET,OF/DH,-6.725660846914481,
Omar Narvaez,TEX,C,-6.760404332180295,
Miles Mastrobuoni,SEA,2B/3B/OF,-6.7681237235321134,
Jorge Alfaro,WSN,C,-6.818388528870316,
Drew Waters,KCR,OF,-6.839693991764039,
Austin Slater,NYY,OF,-6.852330810645105,
Ezequiel Duran,TEX,1B/2B/3B/SS/OF,-6.856483607221728,
Jake McCarthy,ARI,OF,-6.871257788937615,
Robert Hassell III,WSN,OF,-6.879446739484256,
Jack Suwinski,PIT,OF,-6.950609578086283,
Jose Tena,WSN,3B,-6.979770764487216,
Graham Pauley,MIA,3B,-6.9824765289739625,
Darell Hernaiz,OAK,3B/SS,-6.9887786803563445,
Logan Porter,SFG,C,-7.0036880424061465,
Oswald Peraza,LAA,3B,-7.008138508659394,
Brett Sullivan,PIT,C/1B,-7.008194897414164,
Zach Cole,HOU,OF,-7.02295470940204,
Sebastian Rivero,LAA,C,-7.051235525455375,
Taylor Trammell,HOU,OF,-7.1034239878124215,
Sandy Leon,ATL,C,-7.105010101194544,
Denzel Clarke,OAK,OF,-7.109057616242932,
Cesar Salazar,HOU,C/DH,-7.150742639004166,
Rob Brantly,NYY,C,-7.1597994379809276,
Dom Nunez,CLE,C,-7.19440434448593,
Bryce Johnson,SDP,OF,-7.225938140111586,
Hayden Senger,NYM,C,-7.242704739071465,
Harry Ford,SEA,C/DH,-7.255985462648029,
Carlos Cortes,OAK,OF,-7.274067535648252,
Chadwick Tromp,BOS,C,-7.279143816297301,
Endy Rodriguez,PIT,C/1B,-7.2905807380446745,
Max Muncy,OAK,2B/3B,-7.311041647466386,
Austin Barnes,,C,-7.323637904647001,
Chuckie Robinson,ATL,C,-7.335572171411906,
Zach Dezenzo,HOU,OF,-7.336874329056936,
Tucker Barnhart,,C,-7.398533204238031,
Leody Taveras,SEA,OF,-7.428932363489102,
