player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,closermonkey tier,Stuff+,Location+,Pitching+
Hayden Wesneski,HOU,SP/,-0.3124669523113728,5.874287423990101,3.6232336333758184,,TWN,5.874287423990101,3.061684701684849,109.0,,,96.02656976744188,109.7575,102.83
Liam Hicks,MIA,C/,-6.590388319673261,-5.810462891418307,-7.345042874313769,5.870795894200195,FA,5.870795894200195,-3.468774547801286,,,,,,
Harrison Bader,MIN,OF/,0.8974232279341079,1.025407853027976,1.0,5.444564067484278,FA,5.444564067484278,2.0918487871115907,,,,,,
Kenley Jansen,LAA,RP/,3.538501594482007,5.310004313131256,4.094609452859676,1.2377228010506593,TWN,5.310004313131256,3.545209540380899,,14.0,,112.52970873786408,101.04699029126212,111.56485436893205
Mickey Moniak,COL,OF/,0.42055702322812727,2.1834516076183528,1.403539811115299,5.2307411290156915,FA,5.2307411290156915,2.309572392744368,,,,,,
Jake Fraley,CIN,OF/,3.138822035542258,-1.1358487286408505,0.5505845874630868,5.179220569041901,FA,5.179220569041901,1.9331946158515987,,,,,,
Edward Cabrera,MIA,SP/,2.1539343798032977,-2.148532210463701,4.7512940122201135,-2.2026564387680927,FA,4.7512940122201135,0.6385099356979044,94.0,,,106.3,86.89184210526315,96.50543859649125
Miguel Vargas,CHW,3B/OF/,-2.6367391460387104,4.712326330519362,-1.6186182744781092,-7.0124396072009,TWN,4.712326330519362,-1.6388676742995893,,,,,,
Shelby Miller,ARI,RP/,-5.952967694479111,-3.3444709967406236,-3.6859339513276748,4.42940330254509,FA,4.42940330254509,-2.13849233500058,,,,95.15408,104.11472000000003,99.2472
Kyle Isbel,KCR,OF/,1.2993017756834222,1.630652947940221,4.314278829735487,-3.2787917686721606,FA,4.314278829735487,0.9913604461717425,,,,,,
Patrick Corbin,TEX,SP/,-6.84879164080618,-7.506011947106673,-6.999575299214994,3.8982146659427115,FA,3.8982146659427115,-4.364041055296284,,,,94.459670781893,104.40526748971196,99.3085596707819
Clayton Kershaw,LAD,SP/,1.2786782698314156,1.1238784450902728,3.819618861536908,,FA,3.819618861536908,2.074058525486199,,,,,,
Ben Lively,CLE,SP/,-7.80389900817803,-4.0972071051885735,-6.086877813679226,3.8010190703093327,FA,3.8010190703093327,-3.5467412141841237,166.0,,,83.33513002364069,104.73489361702126,83.20832151300237
Kyle Higashioka,TEX,C/,1.4366681274812896,1.0,3.6741158611004012,1.4044372512290821,TWN,3.6741158611004012,1.8788053099526931,,,,,,
Matt Strahm,PHI,RP/,3.390355899853994,2.0800674190674044,2.75637206327502,0.22178837625121517,TWN,3.390355899853994,2.112145939611908,,,,111.02548571428568,103.1264,104.83417142857142
Adam Frazier,PIT,2B/OF/,-15.602031391554828,-15.760754458284225,-14.01016418833454,3.247111095315844,FA,3.247111095315844,-10.531459735714437,,,,,,
Javier Sanoja,MIA,1B/2B/3B/SS/OF/DH/,-12.268960307155782,-9.874224981597003,-14.398252614177219,2.944039647022415,FA,2.944039647022415,-8.399349563976896,,,,79.01142857142858,133.18,112.89714285714284
