player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+
Joe Boyle,TBR,SP/,-2.4383185870393898,-2.2064752358598168,-4.140940167121512,,FA,-2.2064752358598168,-2.9285779966735728,134.0,,107.35954022988508,73.92505747126435,82.24413793103449,,,
Amed Rosario,WSN,2B/3B/OF/DH/,-14.390503473025078,-11.277629720605947,-9.330320252415367,-2.2959120438578595,FA,-2.2959120438578595,-9.323591372476063,,,46.91,83.64857142857143,40.28428571428571,,,
Ben Williamson,SEA,3B/,-17.88656940356503,-13.309695391383986,-15.132452113789457,-2.4036854391314746,FA,-2.4036854391314746,-12.183100586967486,,,,,,,,
Nick Mears,MIL,RP/,-3.6788649098260056,-4.466441033718282,-3.580409586349246,-2.470044747108804,FA,-2.470044747108804,-3.548940069250584,,,97.27826815642456,104.74374301675977,98.14675977653634,99.20791878172588,110.22036379018613,106.57794416243657
Michael Lorenzen,KCR,SP/,-5.316923092632506,-2.476220008362957,-10.627702306377998,-6.08853472956407,FA,-2.476220008362957,-6.127345034234383,,,93.61586956521737,103.43492094861654,96.24565217391306,93.69095093162748,101.97822967265262,95.4721844283074
Tim Herrin,CLE,RP/,-4.40008005615262,-2.4975871793646727,-4.656048894095632,-4.531051588416247,FA,-2.4975871793646727,-4.021191929507293,,,98.50021857923495,88.7089617486339,84.93109289617492,98.571832460733,84.07685863874347,80.22314136125655
Tanner Banks,PHI,RP/,-2.498656277254528,-4.534075574060335,-2.9123496684298877,-3.941328923444124,FA,-2.498656277254528,-3.471602610797219,,,108.37098290598288,105.12311965811963,109.12128205128204,107.05106796116505,106.6128155339806,109.85689320388352
Greg Weissert,BOS,RP/,-6.832667380016089,-4.248055983839194,-5.654411050490685,-2.5282410012733214,FA,-2.5282410012733214,-4.8158438539048225,,,98.95454545454548,106.01722488038278,104.56421052631572,101.82113207547172,103.01471698113208,103.59198113207545
Calvin Faucher,MIA,RP/,-2.7567570243381385,-2.5489062268233735,-3.4162431211277973,-6.359616738322736,FA,-2.5489062268233735,-3.7703807776530116,,28,101.201746031746,100.93301587301588,106.15153439153444,104.08010840108402,96.22997289972902,101.2379945799458
Robert Stephenson,LAA,RP/,-5.365254750338924,,-2.56569004120603,,FA,-2.56569004120603,-3.965472395772477,,,123.43066666666668,121.00933333333332,125.15733333333334,123.43066666666668,121.00933333333332,125.15733333333333
Hoby Milner,TEX,RP/,-6.0864793961023915,-2.6021519061314087,-6.026118996980949,-3.261010955744867,FA,-2.6021519061314087,-4.493940313739904,,,106.15726415094343,104.72207547169812,107.64264150943396,104.36318446601943,105.39610679611653,108.40877669902912
Garrett Cleavinger,TBR,RP/,-2.7196983778782795,-3.199858325311702,-2.636983314605865,-4.434218498177926,FA,-2.636983314605865,-3.2476896289934434,,,111.10006309148264,103.16668769716088,108.18353312302838,110.69165367965368,105.46058874458876,109.979012987013
Keider Montero,DET,SP/RP/,-3.805233162816064,-4.334135865022962,-6.144988094771595,-2.646325237456175,FA,-2.646325237456175,-4.232670590016699,,,95.2997509844157,96.54381238484336,91.32313429340827,93.7440694789082,98.255682382134,91.47255583126552
Yuki Matsui,SDP,RP/,-4.097779874858789,-2.6717585751501964,-4.52891012165284,-6.553346071439082,FA,-2.6717585751501964,-4.462948660775227,,,105.33584810126584,95.59772151898736,98.92303797468354,102.50225325884544,92.64802607076348,95.3966108007449
Omar Cruz,SDP,RP/,-8.14378693686182,-2.718417846539445,-7.963570732352595,,FA,-2.718417846539445,-6.275258505251287,,,98.05382716049382,78.8195061728395,74.82444444444444,,,
Pierce Johnson,ATL,RP/,-2.7238965527013517,-3.6004317080513895,-3.4500034455130857,-5.846678175445359,FA,-2.7238965527013517,-3.905252470427796,,,98.40735376044572,105.8317548746518,100.74791086350974,98.61742331288346,105.1517791411043,102.3079754601227
Jared Koenig,MIL,RP/,-3.134752443065027,-2.742776618363316,-4.1851231353988565,-4.529198062131667,FA,-2.742776618363316,-3.647962564739717,,,105.41725581395347,98.74865116279072,102.76488372093024,104.18594115561856,103.21482453030842,105.85472527472528
John Schreiber,KCR,RP/,-6.190406441010764,-2.7518984060137037,-5.713752480173634,-5.986191432342253,FA,-2.7518984060137037,-5.160562189885089,,,103.7478947368421,109.06431578947372,109.05605263157898,106.36255131964808,109.1339980449658,112.31661779081134
Kevin Kelly,TBR,RP/,-7.075486258844643,-2.840745392647231,-2.8125121451236534,,FA,-2.8125121451236534,-4.242914598871843,,,119.38232558139534,112.26418604651164,120.03999999999998,128.76210526315788,130.47052631578947,149.65263157894734
