player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+
Noah Cameron,KCR,RP/,-5.478347036860793,-3.530092064839833,-10.643969102418161,,FA,-3.530092064839833,-6.550802734706262,,,91.72897435897436,92.86410256410257,89.93384615384616
Nick Allen,ATL,SS/,-4.646549253071256,-5.714332752644962,-4.795961450798506,-3.61343563060913,FA,-3.61343563060913,-4.692569771780963,,,,,
Santiago Espinal,CIN,2B/3B/,-6.939147957355885,-8.553689627768446,-8.6616565158752,-3.624759694200936,FA,-3.624759694200936,-6.944813448800116,,,,,
Eric Haase,MIL,C/,-7.0924961324458895,-6.699018730376111,-6.514632128973139,-3.6694175476643576,FA,-3.6694175476643576,-5.9938911348648745,,,,,
Eric Orze,TBR,RP/,-8.20287631464475,-3.6781294550677703,-6.058245529909377,-7.920826133347585,FA,-3.6781294550677703,-6.465019358242371,,,95.42830508474576,96.70474576271184,100.5133050847458
Allan Winans,NYY,RP/,-6.871113705874833,-3.719502691757743,-8.37288683165195,,FA,-3.719502691757743,-6.3211677430948425,,,,,
Matt Festa,CLE,RP/,-7.487743111269436,-3.7485568801971967,-6.693459247149185,,FA,-3.7485568801971967,-5.9765864128719395,,,97.97792207792207,95.83246753246752,91.22441558441558
Taylor Rogers,CIN,RP/,-6.021269442205553,-3.7641290934849474,-6.075601850692859,-7.646829781549485,FA,-3.7641290934849474,-5.876957541983211,,,107.60571428571428,96.7498775510204,99.68734693877548
Ryan Yarbrough,NYY,RP/,-10.098097672695282,-3.7675475688364113,-8.93259776818305,-8.734907898355722,FA,-3.7675475688364113,-7.883287727017617,,,102.26512077543318,100.8190579859324,96.51968313604392
Colton Gordon,HOU,RP/,-7.253097249244139,-3.773255276073189,-8.938728051720865,,FA,-3.773255276073189,-6.6550268590127315,,,,,
Yohel Pozo,STL,C/DH/,-11.751686829206129,-10.354222232951548,-11.046918908370884,-3.8198024281731584,FA,-3.8198024281731584,-9.243157599675431,,,,,
Mike Tauchman,CHW,OF/DH/,-3.861516962187295,-6.882200298630078,-9.307839663396871,-11.8606604643669,FA,-3.861516962187295,-7.978054347145287,,,,,
Phil Maton,STL,RP/,-5.791908237758282,-3.8851219083349458,-5.039924505829122,-8.017671785670041,FA,-3.8851219083349458,-5.683656609398097,,,104.9932616487455,103.56387096774192,107.99354838709677
Scott Blewett,ATL,RP/,-8.57587651075269,,-11.356146537230465,-3.915656129091892,FA,-3.915656129091892,-7.949226392358351,,,,,
Paul Sewald,CLE,RP/,-5.614597467699398,,-3.9569507507802815,-10.008348235575545,FA,-3.9569507507802815,-6.526632151351741,,,114.76465608465608,102.85386243386245,113.6142857142857
Brent Suter,CIN,RP/,-10.169485010667655,-5.229532203602002,-9.275302600889118,-3.9700178328446354,FA,-3.9700178328446354,-7.161084412000853,,,101.40960350859405,100.45305100643915,106.31007529280537
Greg Weissert,BOS,RP/,-7.119749436633665,-3.9705960623554635,-6.519384815449894,-7.46752636512209,FA,-3.9705960623554635,-6.269314169890278,,,97.06277419354836,109.34180645161292,106.4184516129032
Ernie Clement,TOR,3B/SS/,-5.802823000541896,-5.445142562623094,-6.508922270708511,-4.004549714499753,FA,-4.004549714499753,-5.440359387093313,,,,,
Brad Keller,CHC,RP/,-8.28982231672682,-4.039705949205394,-10.692206551392534,-8.676389783728013,FA,-4.039705949205394,-7.92453115026319,,,103.74426152674437,113.16106508875738,115.6223422578944
Joey Estes,ATH,SP/,-7.837154144406851,-4.050724364053802,-6.5591576517427495,,FA,-4.050724364053802,-6.149012053401134,,,84.2790410958904,88.40164383561644,80.87178082191781
Kevin Kelly,TBR,RP/,-7.729916212944925,,-4.094736067135904,,FA,-4.094736067135904,-5.912326140040415,,,116.83373134328356,107.36925373134328,111.92238805970148
Keider Montero,DET,SP/,-4.16683793858283,-4.099023786810278,-4.887858237998438,-4.62584957145776,FA,-4.099023786810278,-4.444892383712327,,,95.18347053106956,95.2915539072772,90.41542331218204
Brandon Lockridge,SDP,OF/,-12.379794966958732,-11.59310629311883,-11.014526854616294,-4.103124123490121,FA,-4.103124123490121,-9.772638059545994,,,,,
JoJo Romero,STL,RP/,-5.022402358600556,-4.104701210391178,-5.3374086135678995,-12.266844600148866,FA,-4.104701210391178,-6.682839195677126,,,104.33564766839382,94.53616580310884,100.80725388601036
Caleb Ferguson,PIT,RP/,-5.900238844706441,-4.154045449538502,-5.524824554082939,-11.992041812678993,FA,-4.154045449538502,-6.892787665251719,,,108.22717241379308,93.77613793103448,99.94220689655174
Cam Booser,CHW,RP/,-4.474504636894386,-6.787867931355749,-4.162945771897938,-8.278456266682202,FA,-4.162945771897938,-5.925943651707569,,just_missed,111.81180076628354,93.32245210727967,101.91249042145594
Tanner Banks,PHI,RP/,-4.188616326939745,-5.004641823928366,-4.380067474828287,-5.734004895293584,FA,-4.188616326939745,-4.8268326302474955,,,108.47378048780485,103.24896341463412,107.26317073170728
Declan Cronin,MIA,RP/,-9.090291484196886,-4.257589184822954,-9.254793332552218,,FA,-4.257589184822954,-7.534224667190686,,,,,
Derek Hill,MIA,OF/,-9.597782817247985,-9.29252044854293,-8.124466933862177,-4.312328968530781,FA,-4.312328968530781,-7.831774792045969,,,,,
Jakob Junis,CLE,RP/,-4.321209512480247,-5.4455675589270784,-6.5329570169008635,-11.093375561748552,FA,-4.321209512480247,-6.848277412514185,,,93.91262500000002,111.19062499999998,103.24968749999998
Jesse Winker,NYM,OF/DH/,-8.877849647374502,-10.233662017527982,-8.876709037277353,-4.329347057331296,FA,-4.329347057331296,-8.079391939877784,,,,,
Ryan Fernandez,STL,RP/,-7.860813702028782,-4.342337951561525,-8.248295769060151,,FA,-4.342337951561525,-6.817149140883487,,,99.73370370370372,85.48358024691358,86.2162962962963
Craig Kimbrel,ATL,RP/,-6.262200020589785,,-4.358128987766605,,FA,-4.358128987766605,-5.310164504178195,,,,,
Robert Stephenson,LAA,RP/,-6.565855402534635,,-4.3605673259576285,,FA,-4.3605673259576285,-5.463211364246131,,,,,
Jackson Rutledge,WSN,RP/,-6.636062711164672,-4.368052638029448,-11.016683481580595,-8.911144583379329,FA,-4.368052638029448,-7.732985853538511,,,106.82852564102564,91.10807692307692,94.0883974358974
Brock Burke,LAA,RP/,-7.594271020229151,-4.427064249934569,-6.482224118371699,-7.783843777925643,FA,-4.427064249934569,-6.571850791615265,,,96.0260777385159,87.92968197879858,87.32925795053002
Andrew Kittredge,BAL,RP/,-6.204285940410151,-4.492152822957599,-5.696519073140351,,FA,-4.492152822957599,-5.464319278836034,,,,,
Mason Englert,TBR,RP/,-8.164785829638765,-4.507176772947922,-7.338466438426925,-15.301379648082527,FA,-4.507176772947922,-8.827952172274035,,,99.19661341853036,108.03999999999996,106.17801916932903
Hogan Harris,ATH,SP/RP/,-5.576920347068543,-4.516011966524096,-6.098982121922485,,FA,-4.516011966524096,-5.397304811838374,,,92.18971428571427,115.1555238095238,107.92590476190476
Jacob Webb,TEX,RP/,-9.310321616213942,-4.541850148636016,-8.461039228744983,-5.174573190956122,FA,-4.541850148636016,-6.871946046137766,,,90.51140845070424,103.97838028169014,95.03394366197185
Osvaldo Bido,ATH,SP/,-7.907114197116385,-10.605938423012478,-4.58448399187167,,TWN,-4.58448399187167,-7.699178870666844,126.0,,94.99809941520468,95.29105263157896,91.36780701754388
Cole Winn,TEX,RP/,-11.241721589691283,-4.615113561424217,-13.452201652082733,,FA,-4.615113561424217,-9.76967893439941,,,,,
Addison Barger,TOR,3B/OF/,-7.592895306707868,-6.291568681773788,-4.715012848407844,-5.546188722294417,FA,-4.715012848407844,-6.0364163897959795,,,,,
Braxton Ashcraft,PIT,RP/,-7.557922799684109,-4.7156917880849205,-9.686478678329062,,FA,-4.7156917880849205,-7.320031088699364,,,,,
Tim Hill,NYY,RP/,-10.080318028479518,-5.195559391150456,-8.706454374133324,-4.720508393788764,FA,-4.720508393788764,-7.175710046888016,,,117.21704641350212,99.1001687763713,109.38691983122362
Marcus Stroman,NYY,SP/,-7.990412439204247,-6.986625123374709,-4.734192231494279,,FA,-4.734192231494279,-6.570409931357745,,,89.15014925373134,100.97094527363184,92.38815920398008
Randal Grichuk,ARI,OF/DH/,-7.251716923185079,-4.7376187435894765,-6.935082242865545,-7.096569176030018,FA,-4.7376187435894765,-6.505246771417529,,,,,
Carson Spiers,CIN,SP/RP/,-6.56204840968492,-4.945513367718937,-6.735201614145585,-6.564342301115122,FA,-4.945513367718937,-6.201776423166141,,,94.8514243902439,88.98835121951218,86.97487696476965
Tyler Phillips,MIA,SP/RP/,-6.021580955485851,-4.953434809915123,-7.527881800100163,,FA,-4.953434809915123,-6.1676325218337125,,,99.6182914572864,104.62472361809046,104.32572864321608
Justin Wilson,BOS,RP/,-5.071387181003227,,-6.081202853757512,-7.6568568710349965,FA,-5.071387181003227,-6.269815635265245,,,110.19884615384616,92.65326923076924,100.82653846153842
Steven Cruz,KCR,RP/,-9.497058994032423,,-8.522822552950794,-5.147619184115636,FA,-5.147619184115636,-7.722500243699618,,,114.16425806451612,77.08167741935485,93.18374193548388
Matt Sauer,LAD,RP/,-9.57357603642078,,-8.963919347344333,-5.1565030470703235,FA,-5.1565030470703235,-7.897999476945145,,,101.49633986928104,92.5240522875817,94.61686274509805
Chase Shugart,PIT,RP/,-10.474248976307964,-5.402525404198676,-8.529931886922796,-5.163101971126117,FA,-5.163101971126117,-7.392452059638888,,,104.38486274509803,91.134431372549,96.45599999999996
Austin Hedges,CLE,C/,-7.662853851201664,-7.403530259321512,-7.8131063307093385,-5.2090679055379665,FA,-5.2090679055379665,-7.02213958669262,,,59.264347826086954,84.16782608695652,45.00173913043478
Chas McCormick,HOU,OF/,-6.593952765643107,-6.18572383579106,-5.222556225399038,-10.53976208443479,FA,-5.222556225399038,-7.135498727816998,,,,,
DL Hall,MIL,RP/,-5.241135564161097,,-7.843249975158017,,FA,-5.241135564161097,-6.542192769659557,,,,,
Tyler Gilbert,CHW,RP/,-7.636986707288909,-5.26620910973326,-7.872602023615757,-8.486538300087473,FA,-5.26620910973326,-7.315584035181351,,,94.6589011627907,92.9704680232558,83.56840406976744
John King,STL,RP/,-8.183065653212815,-5.311173641415412,-9.06880661076197,-16.350811130134428,FA,-5.311173641415412,-9.728464258881157,,,101.149702970297,103.89910891089109,104.45722772277226
Troy Taylor,SEA,RP/,-7.598112978261309,,-5.31451943258913,,FA,-5.31451943258913,-6.456316205425219,,,104.70831858407082,106.83433628318583,107.83911504424776
Josh Sborz,TEX,RP/,-6.26351447375712,,-5.343245701187248,,FA,-5.343245701187248,-5.803380087472184,,,,,
Julian Merryweather,CHC,RP/,-5.832343949035746,-6.14781738394424,-5.351611986797963,-15.721332640776065,FA,-5.351611986797963,-8.263276490138503,,,104.24743243243242,96.94445945945944,100.71277027027024
Edmundo Sosa,PHI,2B/3B/SS/,-14.102653696265884,-10.652807441858481,-10.25483563970206,-5.448307122820189,FA,-5.448307122820189,-10.114650975161654,,,,,
Collin Snider,SEA,RP/,-7.846826595007903,-5.488430986457274,-6.910316065624736,-8.86431696821892,FA,-5.488430986457274,-7.277472653827209,,,103.66932098765432,106.19302469135802,103.10981481481484
Bennett Sousa,HOU,RP/,-5.511583942770315,,-5.50437371129519,-6.313450099151622,FA,-5.50437371129519,-5.776469251072375,,,101.76909090909088,100.97490909090912,102.3918787878788
Kody Funderburk,MIN,RP/,-6.188845588365832,,-5.512501882053639,,FA,-5.512501882053639,-5.850673735209735,,,106.5706329113924,92.46329113924052,99.86632911392402
Kaleb Ort,HOU,RP/,-8.66754927287181,-5.52514896567964,-7.30413916676415,,FA,-5.52514896567964,-7.1656124684385345,,,107.10166666666667,94.90833333333336,102.5914583333333
Trent Thornton,SEA,RP/,-6.773145597449986,,-5.5567719131038364,-12.390959391140038,FA,-5.5567719131038364,-8.24029230056462,,,99.73464000000004,100.12255999999996,99.55472000000002
Bryse Wilson,CHW,SP/,-12.46963261524933,,-5.572819765417528,,FA,-5.572819765417528,-9.02122619033343,,,98.83033341436844,93.653581255663,94.7689085432972
Scott Barlow,CIN,RP/,-9.19628850921036,-5.591310577661627,-7.5755130031013795,-12.52833199538836,FA,-5.591310577661627,-8.722861021340432,,,103.45070063694264,76.83898089171971,80.22719745222932
Angel Chivilli,COL,RP/,-11.94528507271441,-5.609012255535801,-11.84026383325253,-11.746740118677312,FA,-5.609012255535801,-10.285325320045015,,,90.76214285714288,103.94236263736262,97.79104395604398
J.C. Escarra,NYY,C/1B/3B/DH/,-5.956020770087458,-6.482209216098192,-5.619223832017357,-6.30425552508362,FA,-5.619223832017357,-6.090427335821657,,,,,
Riley Adams,WSN,C/,-8.016991828120904,-7.177123111909147,-6.890692806428071,-5.670084097359749,FA,-5.670084097359749,-6.938722960954467,,,,,
Jason Heyward,SDP,OF/,-7.270693481629435,-7.6112620424651904,-7.578372496072088,-5.71366758660615,FA,-5.71366758660615,-7.043498901693216,,,,,
Carson Palmquist,COL,SP/,-10.94138215932124,,-5.7275489903207335,,FA,-5.7275489903207335,-8.334465574820987,,,,,
Scott Alexander,COL,RP/,-12.481447771165561,-5.747139170518558,-11.802309414629379,-14.770524711733614,FA,-5.747139170518558,-11.200355267011778,,,98.398779342723,101.3945539906103,100.19408450704223
