player_name,is_drafted,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,Position(s),NFBC_ADP,bp_expert_count,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+,Events,EV,maxEV,Barrel%,HardHit%,wOBA,xwOBA
Ian Gibaut,,CIN,RP/,-9.016982030213429,-9.574537133517888,-10.350257450821807,-11.677985426323836,FA,-9.016982030213429,-10.154940510219241,,,,,,89.35562500000002,113.78027777777775,104.1235416666667,85.26368831168831,114.25623376623378,103.17725974025974,0.0,,,,,0.0,
Austin Cox,,ATL,RP/,-9.018085017746673,,-11.282032325380802,,FA,-9.018085017746673,-10.150058671563738,,,,,,,,,,,,,,,,,,
Tom Cosgrove,,CHC,RP/,-9.022127944948894,,,,FA,-9.022127944948894,-9.022127944948894,,,,,,92.86658823529412,106.09411764705882,87.22776470588236,,,,0.0,,,,,0.0,
Brendan Rodgers,,HOU,2B/,-19.679136339881115,-14.387235882644896,-14.44083935122848,-9.041335162522822,FA,-9.041335162522822,-14.387136684069327,,,,,,,,,,,,70.0,90.48969029017856,112.17,0.14285714,0.48571429,0.2482820805162191,0.311
Declan Cronin,,MIA,RP/,-9.044303413062122,,-10.363481955037344,,FA,-9.044303413062122,-9.703892684049734,,,,,,,,,,,,,,,,,,
Christian Koss,,SFG,2B/,-25.221645417414013,-23.01039613476501,-20.728727883997504,-9.05486535146735,FA,-9.05486535146735,-19.503908696910973,,,,,,27.73428571428571,81.12571428571428,18.80857142857143,,,,50.0,87.28277994791667,108.063,0.06,0.34,0.2433969507346282,0.302
Tayler Scott,,ARI,RP/,-9.466002208339386,,-9.062150379672122,-15.385625834438944,FA,-9.062150379672122,-11.304592807483482,,,,,,,,,,,,,,,,,,
Hunter Strickland,,LAA,RP/,-11.83515130898824,-9.075261596863236,-10.52901393383151,,FA,-9.075261596863236,-10.479808946560995,,,,,,92.7831,107.7633,103.48239999999994,92.7831,107.76330000000002,103.4824,0.0,,,,,0.0,
Jose Herrera,,ARI,C/,-11.278517685064964,-12.147256034443169,-10.421495240091447,-9.091065594128006,FA,-9.091065594128006,-10.734583638431896,,,,,,44.54333333333333,96.41333333333334,54.306666666666665,44.54333333333333,96.41333333333334,54.306666666666665,61.0,80.23600852272727,104.442,0.0,0.18032787,0.2502246191627101,0.23
Austin Hedges,,CLE,C/,-10.098947037029127,-10.83358415904368,-9.68981630436456,-9.100230002251235,FA,-9.100230002251235,-9.930644375672152,,,,,,60.67166666666667,83.02666666666666,43.225833333333334,,,,37.0,89.36347113715277,106.042,0.02702703,0.37837838,0.2082263691858812,0.207
Jimmy Herget,,COL,RP/,-11.566204001801063,-9.12839304825682,-9.488532134208471,-10.874640458178115,FA,-9.12839304825682,-10.264442410611117,,,,,,93.4216510318949,96.6404127579737,90.7744840525328,92.9687235817575,102.29613459399332,95.69571746384872,0.0,,,,,0.0,
Andrew Saalfrank,,ARI,RP/,-9.144291680857378,,-9.82110858180464,,FA,-9.144291680857378,-9.48270013133101,,,,,,,,,,,,,,,,,,
George Soriano,,MIA,RP/,-9.249901773371857,,-9.791651953207916,-15.95555159047762,FA,-9.249901773371857,-11.665701772352463,,,,,,99.52458333333335,96.17708333333331,98.18999999999996,109.88166666666666,100.27,107.03444444444445,0.0,,,,,0.0,
Mickey Gasper,,MIN,C/1B/2B/OF/DH/,-14.375316276508928,-13.740114612052423,-12.305026512385131,-9.254448341070548,FA,-9.254448341070548,-12.418726435504258,,,,,,,,,,,,25.0,88.158955078125,108.452,0.0,0.28,0.2360717287430396,0.224
Tyler Tolbert,,KCR,2B/3B/OF/DH/,-25.787279040788125,-24.00347893693649,-20.886442983981635,-9.283186114014452,FA,-9.283186114014452,-19.990096768930176,,,,,,,,,,,,5.0,83.93110961914063,102.826,0.0,0.2,0.1110544875264167,0.131
Tyler Wade,,SDP,2B/3B/OF/,-20.97284024158086,-19.96773601509125,-16.52817048534713,-9.287654042887342,FA,-9.287654042887342,-16.689100196226647,,,,,,29.581111111111113,84.4211111111111,16.742222222222225,29.581111111111113,84.4211111111111,16.742222222222225,70.0,82.94979228670636,100.487,0.0,0.14285714,0.2689916655557965,0.242
Alan Roden,,TOR,OF/,-13.57257441041812,-13.93337954786678,-12.051831012429208,-9.31215131802394,FA,-9.31215131802394,-12.217484072184511,OF,424.0,,,,,,,,,,71.0,84.94837472098214,107.552,0.01408451,0.29577465,0.2567109604483669,0.24
Elvis Alvarado,,ATH,RP/,-9.643408478330104,,-9.355049343955397,,FA,-9.355049343955397,-9.499228911142751,,,,,,108.76393442622953,82.95409836065572,92.19098360655735,110.71180722891566,95.93831325301204,104.9633734939759,0.0,,,,,0.0,
Marc Church,,TEX,RP/,-9.736604581320032,,-9.378566161968896,,FA,-9.378566161968896,-9.557585371644464,P,443.0,,,,92.52808080808082,83.7668686868687,83.53171717171716,,,,0.0,,,,,0.0,
Jaden Hill,,COL,RP/,-9.424594941585994,,-10.316788561870997,,FA,-9.424594941585994,-9.870691751728495,,,,,,99.17153846153846,90.71269230769232,88.68269230769229,,,,0.0,,,,,0.0,
Luis Campusano,,SDP,C/,-10.426988633785127,-11.150252599268386,-9.467536527319208,-12.07283200354386,FA,-9.467536527319208,-10.779402440979146,,,,,,,,,,,,9.0,89.02433946397569,101.436,0.0,0.33333333,0.1733703017234802,0.234
Jake Eder,,LAA,RP/,-9.470333737350122,,-14.199482115574,,FA,-9.470333737350122,-11.834907926462062,,,,,,82.67057471264368,91.93172413793104,79.03540229885057,86.142,91.5484,80.4128,0.0,,,,,0.0,
Michael Mercado,,PHI,RP/,-9.924014210428446,,-9.52786601638187,,FA,-9.52786601638187,-9.725940113405159,,,,,,106.21409090909091,81.51363636363637,86.90863636363636,106.21409090909091,81.51363636363637,86.90863636363636,0.0,,,,,0.0,
Willie MacIver,,ATH,C/,-10.72855737786404,-10.595418382428049,-10.052789730802717,-9.530476022874003,FA,-9.530476022874003,-10.226810378492203,,,,,,40.06428571428573,92.64142857142858,44.88,40.80555555555556,85.28111111111112,38.23555555555557,26.0,85.27037635216347,102.917,0.0,0.30769231,0.2129776626825332,0.225
Anthony Molina,,COL,RP/,-13.31826564387818,-9.5405204446561,-14.538282498478804,,FA,-9.5405204446561,-12.46568952900436,,,,,,87.8685,121.948,110.84125000000002,87.86850000000001,121.948,110.84125,0.0,,,,,0.0,
Kyle Freeland,,COL,SP/,-10.712978972223356,-13.656609516575935,-9.586850732657112,-11.2113926353349,FA,-9.586850732657112,-11.291957964197827,,,,,,96.32543422184006,103.55097162510748,99.64512467755804,97.61489681050656,103.677861163227,100.245478424015,0.0,,,,,0.0,
Miguel Rojas,,LAD,2B/SS/,-18.37893772521271,-20.19020231821937,-19.18059000668358,-9.605533907372084,FA,-9.605533907372084,-16.838815989371938,SS,594.0,,,,30.33471698113207,104.43811320754716,41.36264150943395,31.330999999999996,70.293,7.958999999999998,83.0,86.57395629882812,103.281,0.02409639,0.22891566,0.2493504476547241,0.254
Chris Taylor,,LAA,2B/3B/OF/,-22.51695241277701,-20.553929689034938,-17.38935275806262,-9.651674716659551,FA,-9.651674716659551,-17.52797739413353,,,,,,,,,,,,,,,,,,
