player_name,team,position,steamerr,rthebatx,roopsydc,season,last30,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+,Events,EV,maxEV,Barrel%,HardHit%,wOBA,xwOBA
Paul Gervase,TBR,RP/,-7.948315591915394,,-6.515629359643274,,-10.3494587316046,FA,-6.515629359643274,-8.271134561054422,,,91.71039999999999,69.6752,68.23200000000001,91.71039999999999,69.6752,68.23200000000001,0.0,,,,,0.0,
Tyler Phillips,MIA,RP/,-9.410904827520069,-8.61808047042055,-13.776385218078708,-10.016285686371573,-6.5327630198735855,FA,-6.5327630198735855,-9.670883844452897,,,99.19842809364548,106.31160535117058,105.37545150501671,97.63465165007858,112.01697747511786,110.56281194342587,0.0,,,,,0.0,
Brooks Raley,NYM,RP/,-7.268725469771148,,-6.545500069253346,,,FA,-6.545500069253346,-6.907112769512247,,,,,,,,,,,,,,,
Trenton Brooks,SDP,1B/OF/DH/,-16.824916570276528,-18.10503483808555,-16.154000475449745,-12.788909874053529,-6.566847157769111,FA,-6.566847157769111,-14.087941783126894,,,,,,,,,2.0,102.35033416748047,102.863,0.5,1.0,0.3695677916208903,0.235
Santiago Espinal,CIN,2B/3B/,-14.000972491026584,-13.360750349513824,-11.240777495900875,-6.57067518588809,-11.329620425180227,FA,-6.57067518588809,-11.30055918950192,,,,,,,,,202.0,86.71250396573605,107.441,0.00990099,0.26237624,0.2605132057459028,0.261
Connor Prielipp,MIN,RP/,-6.636586616560688,,-9.101358301704096,,,FA,-6.636586616560688,-7.868972459132392,,,,,,,,,,,,,,,
Alex Verdugo,ATL,OF/,-20.471292959279555,-19.617253660673516,-17.523665206283056,-6.718343229339549,-10.538358941787884,FA,-6.718343229339549,-14.973782799472712,,,,,,,,,156.0,90.35076234879033,107.716,0.03205128,0.44230769,0.2721788338081321,0.313
Leo Rivas,SEA,2B/SS/,-25.072802108558665,-26.55327318480012,-23.539957105722056,-6.727791941151819,-10.816428494914538,FA,-6.727791941151819,-18.542050567029438,,,43.58,60.260000000000005,3.7200000000000006,,,,45.0,84.91265869140625,103.192,0.0,0.17777778,0.33584842208313614,0.293
Jake McCarthy,ARI,OF/,-8.345598219508725,-12.588324083257408,-6.74253064884362,-15.752733109516022,-10.737843070635638,W <small>(Fri)</small>,-6.74253064884362,-10.833405826352282,,,,,,,,,40.0,84.44215119190706,103.826,0.0,0.175,0.12820945650923485,0.228
Zach Pop,SEA,RP/,-8.187405646962796,,-6.80291072419667,,-9.905893959116757,FA,-6.80291072419667,-8.29873677675874,,,112.3295081967213,108.49245901639344,115.44000000000001,112.32950819672132,108.49245901639344,115.44,0.0,,,,,0.0,
Derek Hill,MIA,OF/,-16.60886431774136,-16.236221817833066,-15.193006501836312,-6.817070049752547,,FA,-6.817070049752547,-13.713790671790822,,,,,,,,,46.0,90.07191685267857,112.277,0.08695652,0.45652174,0.2978741005063057,0.291
Andruw Monasterio,MIL,2B/3B/,-21.591778698825863,-18.02489288876429,-17.387237604357843,-12.544360389849274,-6.818875054442574,FA,-6.818875054442574,-15.273428927247966,,,,,,,,,19.0,85.25677811472039,98.5704,0.0,0.15789474,0.2792768786030431,0.298
Tyler Ferguson,ATH,RP/,-8.582324172392866,-8.252560325443651,-6.836763674022847,-12.359832572603755,-20.257328102534892,FA,-6.836763674022847,-11.257761769399604,,,108.05673333333336,80.83999999999999,87.0466,108.41561904761907,82.08895238095238,90.08323809523809,0.0,,,,,0.0,
