player_name,team,position,steamerr,rthebatx,roopsydc,season,Status,best_projection,avg_projection,eno,closermonkey rank,Stuff+,Location+,Pitching+,lastmonth_stuff+,lastmonth_location+,lastmonth_pitching+,Events,EV,maxEV,Barrel%,HardHit%,wOBA,xwOBA
Weston Wilson,PHI,OF/,-22.20026982058292,-21.297106370662384,-19.7656653496814,-11.720908825239205,FA,-11.720908825239205,-18.74598759154148,,,36.28866666666667,115.88366666666667,57.44066666666666,39.108333333333334,121.0586111111111,65.36166666666666,23.0,87.11336086107337,107.277,0.08695652,0.34782609,0.27531583252407255,0.357
Richie Palacios,TBR,2B/OF/,-18.69479529900386,-17.42807064387391,-16.09180804856603,-11.752965445798063,FA,-11.752965445798063,-15.991909859310464,,,,,,,,,4.0,88.57426452636719,102.185,0.0,0.25,0.7604483067989349,0.577
Austin Gomber,COL,SP/,-14.020432492475955,-15.259447411869285,-11.771021691719046,,FA,-11.771021691719046,-13.683633865354762,,,100.65842105263158,101.37052631578948,95.09973684210526,100.65842105263158,101.37052631578948,95.09973684210526,0.0,,,,,0.0,
Manuel Margot,DET,OF/,-26.042017669838263,,,-11.801377297618952,FA,-11.801377297618952,-18.921697483728607,,,,,,,,,14.0,79.98388671875,102.803,0.0,0.14285714,0.2664738357067108,0.303
Jarred Kelenic,ATL,OF/,-25.02111245388479,-23.91433532914688,-21.396667664532092,-11.802852600742485,FA,-11.802852600742485,-20.533742012076562,,,,,,,,,37.0,89.12399631076389,108.43,0.13513514,0.37837838,0.2380555978188148,0.296
Orlando Arcia,COL,SS/,-11.824738801513702,-14.36033866712055,-12.537552899104497,-11.835536702371384,FA,-11.824738801513702,-12.639541767527533,,,,,,,,,,,,,,,
Jorbit Vivas,NYY,2B/3B/,-26.455009574937698,-23.177120596723327,-21.27527074956312,-11.84901013203352,FA,-11.84901013203352,-20.689102763314416,,,,,,,,,36.0,86.57305549172794,106.903,0.05555556,0.38888889,0.24274935675602333,0.297
Deyvison De Los Santos,MIA,1B/3B/,-11.960655226903514,-13.557943279644544,-12.926577856197408,,FA,-11.960655226903514,-12.815058787581824,,,,,,,,,,,,,,,
Trenton Brooks,SDP,1B/OF/DH/,-20.65078423331647,-20.90983100392021,-19.094901228879866,-11.966870988269454,FA,-11.966870988269454,-18.1555968635965,,,,,,,,,1.0,101.83728790283203,101.837,1.0,1.0,0.41463627815246584,0.262
Kevin Newman,LAA,2B/3B/SS/,-21.612710219508234,-22.978992334291164,-19.66210900838453,-12.007024871988577,FA,-12.007024871988577,-19.065209108543126,,,,,,,,,60.0,86.96603548728814,105.475,0.01666667,0.28333333,0.1876079713976061,0.214
Oliver Dunn,MIL,3B/,-23.676934082697706,-22.71778379227713,-20.080207437629483,-12.089976992008863,FA,-12.089976992008863,-19.641225576153293,,,,,,,,,28.0,87.29410807291667,109.144,0.0,0.32142857,0.19155013866913626,0.246
Davis Schneider,TOR,2B/OF/,-23.139405181006474,-19.061375734777435,-17.6016297168902,-12.144428846894765,FA,-12.144428846894765,-17.98670986989222,,,,,,,,,24.0,87.37654622395833,108.307,0.08333333,0.33333333,0.2751056734396487,0.263
Jose Barrero,STL,2B/3B/SS/OF/,-24.19393011786392,-24.240702481561954,-20.99856069362493,-12.18911469478774,FA,-12.18911469478774,-20.40557699695964,,,,,,,,,18.0,84.22882758246527,104.683,0.05555556,0.16666667,0.2085653692483902,0.18
Bryce Johnson,SDP,OF/,-25.028876875517255,-24.136950269590216,-20.667425819222743,-12.191591141252337,FA,-12.191591141252337,-20.506211026395636,,,,,,,,,4.0,82.44436645507812,98.3982,0.0,0.25,0.5380927068846566,0.401
Jack Suwinski,PIT,OF/,-20.43386947659582,-19.57424571612764,-17.340568730005522,-12.206471322077556,FA,-12.206471322077556,-17.388788811201636,,,,,,,,,22.0,88.44212757457386,110.442,0.13636364,0.40909091,0.19739442455525302,0.314
Jorge Barrosa,ARI,OF/DH/,-24.622787362169046,-23.623860277429706,-20.93676144270527,-12.298880137110293,FA,-12.298880137110293,-20.370572304853578,,,,,,,,,11.0,88.6052490234375,101.273,0.0,0.27272727,0.2136780060827732,0.213
Paul DeJong,WSN,3B/SS/,-18.603374473315785,-19.77840866125099,-17.432919990301926,-12.351092202183032,FA,-12.351092202183032,-17.041448831762935,,,,,,,,,30.0,89.15701497395834,108.669,0.03333333,0.36666667,0.23492370990284703,0.22
Tom Murphy,SFG,C/DH/,-13.808747525298124,-13.18196212227481,-12.35269445298174,,FA,-12.35269445298174,-13.114468033518227,,,,,,,,,,,,,,,
Cooper Hummel,HOU,OF/DH/,-24.780986914331134,-23.65893984538726,-21.356588150043862,-12.371332247740387,FA,-12.371332247740387,-20.54196178937566,,,,,,,,,,,,,,,
Maverick Handley,BAL,C/,-15.034613952345527,-14.343792100150518,-13.06598063950779,-12.404793777451797,FA,-12.404793777451797,-13.712295117363908,,,,,,,,,26.0,83.47514343261719,105.142,0.0,0.34615385,0.10855597799474542,0.18
Daylen Lile,WSN,OF/,-18.201213166749444,-16.58095367049306,-15.307286558984028,-12.444287328797296,FA,-12.444287328797296,-15.633435181255956,,,,,,,,,39.0,91.33766575863487,107.313,0.05128205,0.48717949,0.2272390329837799,0.331
Connor Joe,CIN,1B/OF/,-23.38326010588683,-22.36384642152734,-19.85162672822011,-12.464326143863259,FA,-12.464326143863259,-19.515764849874387,,,,,,,,,,,,,,,
Keston Hiura,COL,1B/2B/DH/,-28.165392727517368,,,-12.479783762164988,FA,-12.479783762164988,-20.322588244841178,,,,,,,,,11.0,81.13871626420455,105.937,0.0,0.18181818,0.29069554805755615,0.241
Graham Pauley,MIA,3B/,-21.41135643485736,-20.766708557940632,-18.468671001512412,-12.601133984498274,FA,-12.601133984498274,-18.31196749470217,,,,,,,,,62.0,88.55491162909836,111.101,0.06451613,0.40322581,0.24458091028712012,0.278
Rhylan Thomas,SEA,OF/,-25.475361282855648,-24.526923302300847,-21.50675289877574,-12.606989778168744,FA,-12.606989778168744,-21.029006815525243,,,,,,,,,9.0,83.65843370225694,101.427,0.0,0.33333333,0.19587354660034179,0.18
Emmanuel Rivera,BAL,1B/3B/,-26.41270596105614,,,-12.607083844692287,FA,-12.607083844692287,-19.509894902874215,,,53.184,66.63466666666667,20.98311111111111,53.184,66.63466666666667,20.98311111111111,57.0,86.83675130208333,104.127,0.01754386,0.31578947,0.26616533022177846,0.279
Garrett Stubbs,PHI,C/,-14.68822667051641,-14.216606676084291,-12.662758680275166,,FA,-12.662758680275166,-13.855864008958624,,,,,,,,,,,,,,,
Drew Millas,WSN,C/DH/,-14.457013779895048,-13.954132598304893,-12.662758680275166,,FA,-12.662758680275166,-13.691301686158369,,,,,,,,,,,,,,,
John Rave,KCR,OF/,-20.263416734178787,-19.632710460721928,-15.024855033082503,-12.670323419935707,FA,-12.670323419935707,-16.897826411979732,,,,,,,,,22.0,86.34308471679688,105.723,0.04545455,0.40909091,0.2263774366089792,0.25
Gustavo Campero,LAA,OF/,-25.316096584181384,-24.340790018194944,-21.236768185970543,-12.709858641788202,FA,-12.709858641788202,-20.90087835753377,,,,,,,,,8.0,80.4964370727539,100.933,0.0,0.25,0.26361343264579773,0.295
LaMonte Wade Jr.,LAA,1B/,-16.642648148139617,-15.965225856985096,-13.763754602614089,-12.720604805876901,FA,-12.720604805876901,-14.773058353403925,,,,,,,,,,,,,,,
Will Wagner,TOR,2B/,-25.81711253932693,-22.66677285331185,-20.914743188629103,-12.887846165518825,FA,-12.887846165518825,-20.571618686696677,,,,,,,,,45.0,87.95683820857558,104.93,0.02222222,0.37777778,0.23988496812421883,0.27
James McCann,ATL,C/,-14.740892267277648,-14.137494136311284,-12.939290657158182,,FA,-12.939290657158182,-13.939225686915705,,,,,,,,,,,,,,,
Greg Jones,HOU,OF/,-26.04381063290546,,,-12.946860796920916,FA,-12.946860796920916,-19.49533571491319,,,,,,,,,,,,,,,
Jason Delay,ATL,C/,-15.185698313754322,-14.507393745849042,-12.972822907568593,,FA,-12.972822907568593,-14.221971655723985,,,,,,,,,,,,,,,
Jair Camargo,MIN,C/DH/,-15.18266666699568,-14.490238608529372,-12.972822907568593,,FA,-12.972822907568593,-14.215242727697882,,,,,,,,,,,,,,,
Logan Driscoll,TBR,C/,-15.110513568404304,-14.529090036375544,-12.972822907568593,,FA,-12.972822907568593,-14.204142170782815,,,,,,,,,,,,,,,
Seby Zavala,BOS,C/,-15.176828442285995,-14.546560389215418,-12.972822907568593,,FA,-12.972822907568593,-14.232070579690003,,,,,,,,,,,,,,,
Will Banfield,CIN,C/,-15.193386375650402,-14.55329956367339,-12.972822907568593,,FA,-12.972822907568593,-14.23983628229746,,,,,,,,,,,,,,,
