name,drafted,fantasypros_rk,fantasypros_rk_top10,nffc_adp,primetime_adp,fantasypros_tier,fantasypros_pos_rank,Note
pat freiermuth,,197,209.0,224.04,233.34,11,TE24,
los angeles rams,,198,189.0,,,11,DST12,
mason taylor,,199,186.0,206.37,208.9,11,TE25,
alec pierce,,200,195.0,216.6,231.24,11,WR73,
michael wilson,,201,198.0,213.82,231.69,11,WR74,
darius slayton,,202,203.0,227.73,235.9,11,WR75,
will shipley,,203,178.0,168.65,149.93,11,RB60,
wil lutz,,204,199.0,,,11,K4,
chase mclaughlin,,205,196.0,,,11,K5,
isaiah likely,,206,206.0,190.64,190.76,11,TE26,
isaac guerendo,,207,262.0,197.41,190.07,11,RB61,
ka'imi fairbairn,,208,194.0,,,11,K6,
elic ayomanor,,209,185.0,193.92,176.69,11,WR76,
los angeles chargers,,210,233.0,,,11,DST13,
justice hill,,211,197.0,197.75,195.0,11,RB62,
pat bryant,,212,217.0,197.19,182.69,11,WR77,
adonai mitchell,,213,227.0,246.73,232.79,11,WR78,
chris boswell,,214,204.0,,,11,K7,
jaylin noel,,215,226.0,234.29,217.59,11,WR79,
harrison butker,,216,216.0,,,11,K8,
kyle monangai,,217,232.0,204.14,185.34,11,RB63,
jaylen wright,,218,251.0,214.79,214.9,11,RB64,
kareem hunt,,219,258.0,193.3,206.21,11,RB65,
evan mcpherson,,220,231.0,,,11,K9,
daniel jones,,221,241.0,229.43,,11,QB29,
jack bech,,222,237.0,233.47,227.93,11,WR80,
san francisco 49ers,,223,221.0,206.06,211.48,11,DST14,
san francisco 49ers,,223,221.0,206.06,238.0,11,DST14,
san francisco 49ers,,223,221.0,248.08,211.48,11,DST14,
san francisco 49ers,,223,221.0,248.08,238.0,11,DST14,
kendre miller,,224,240.0,198.99,172.1,11,RB66,
tyler bass,,225,211.0,,,11,K10,
andrei iosivas,,226,205.0,225.49,222.86,11,WR81,
ja'tavion sanders,,227,193.0,235.16,237.03,11,TE27,
dj giddens,,228,248.0,192.55,168.76,11,RB67,
new york jets,,229,236.0,,,11,DST15,
dalton schultz,,230,259.0,236.11,240.21,11,TE28,
jake elliott,,231,220.0,,,11,K11,
calvin austin,,232,223.0,240.49,233.21,11,WR82,
tyler lockett,,233,228.0,226.65,231.21,11,WR83,
chris rodriguez,,234,239.0,188.66,174.76,11,RB68,
tory horton,,235,214.0,218.53,192.31,11,WR84,
dontayvion wicks,,236,254.0,245.09,237.24,11,WR85,
keaton mitchell,,237,253.0,180.86,158.14,11,RB69,
dyami brown,,238,219.0,237.27,231.66,11,WR86,
juwan johnson,,239,222.0,238.26,239.07,11,TE29,
dameon pierce,,240,208.0,209.11,197.07,11,RB70, should be better w/ new coach
dont'e thornton,,241,200.0,180.26,173.1,11,WR87,
russell wilson,,242,243.0,234.14,,11,QB30,
tahj brooks,,243,246.0,197.65,167.28,11,RB71,
