Rank,Player,May,Apr,Mar,Feb,MLBAM id,Team,LG,Proj STM$,Proj IP,Health,26 K-BB,ppERA,ppK%,ppWHIP,Stuff+,Location+,Pitching+,26 ERA,26 SIERA
,Jake Bennett,,,,,687562,BOS,AL,,,,0.00%,4.7,16.90%,1.32,93,120,109,4.35,4.56
,Rhett Lowder,##,##,##,##,695076,CIN,NL,-4.3,111,#N/A,5.80%,4.76,18.40%,1.39,85,102,91,4.6,5.1
,Adrian Houser,##,##,##,##,605288,SFG,NL,-3.9,121,78%,7.59%,4.6,16.90%,1.4,89,108,99,5.73,4.87
,Bryse Wilson,,,,,669060,#N/A,,#N/A,0,81%,#N/A,4.74,17.60%,1.39,#N/A,#N/A,#N/A,#N/A,#N/A
,Eric Lauer,,,,,641778,TOR,AL,-4.1,0,78%,7.60%,5.12,19.00%,1.31,88,102,87,5.37,5.14
,Sam Aldegheri,,,,,691951,LAA,AL,,,,-3.85%,5.35,16.50%,1.53,94,92,86,4.76,7.13
,Patrick Corbin,,,,,571578,,,-2.4,0,85%,8.52%,4.76,17.40%,1.4,93,103,97,4.57,4.75
,Lucas Giolito,,,,,608337,SDP,,-7.3,92,72%,-4.24%,4.99,17.70%,1.43,87,92,84,4.56,6.62
,Kai-Wei Teng,,,##,##,678906,HOU,AL,-0.8,89,79%,13.62%,4.18,23.40%,1.35,97,92,90,4.31,4.01
,Aaron Ashby,,,,,,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Aaron Civale,,,,,650644,ATH,AL,-5.5,0,83%,8.27%,4.96,18.90%,1.34,96,111,105,4.91,5.1
,Adam Mazur,,,,,800049,MIA,NL,#N/A,0,79%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Adam Oller,,,,,670124,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,AJ Blubaugh,,,##,##,805123,HOU,AL,#N/A,71,78%,7.07%,4.5,21.40%,1.36,100,93,93,3.86,4.78
,Albert Suarez,,,,,544150,BAL,AL,#N/A,0,#N/A,5.26%,5.16,17.00%,1.41,86,104,92,4.4,5.08
,Alec Marsh,,,,,679525,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Alek Manoah,,,##,##,666201,LAA,AL,#N/A,71,#N/A,-7.69%,#N/A,#N/A,#N/A,66,84,61,9.82,6.95
,Alex Cobb,,,,,502171,,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Alex Wood,,,,,622072,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Antonio Senzatela,,,,,622608,COL,NL,-4.4,0,63%,12.99%,5.12,17.20%,1.52,102,108,108,2.29,3.85
,Austin Gomber,,,,,596295,0,,#N/A,0,82%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Bailey Falter,,,,,663559,KCR,AL,#N/A,0,85%,0.00%,5.44,15.80%,1.43,88,91,85,13.97,5.72
,Ben Casparius,,,##,,676508,LAD,NL,#N/A,0,#N/A,#N/A,4.28,22.50%,1.3,#N/A,#N/A,#N/A,#N/A,#N/A
,Ben Lively,,,,,594902,#N/A,,#N/A,0,76%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Blade Tidwell,,,##,##,694918,SFG,NL,#N/A,62,74%,14.89%,4.06,22.20%,1.33,113,93,101,3,3.69
,Bobby Miller,,,,,676272,LAD,NL,#N/A,0,68%,#N/A,4.87,21.90%,1.38,#N/A,#N/A,#N/A,#N/A,#N/A
,Brad Lord,,,,,695418,WSN,NL,1.1,0,85%,12.76%,4.37,18.70%,1.36,95,102,94,2.44,3.38
,Brandon Pfaadt,,,##,##,694297,ARI,NL,0.2,176,97%,8.19%,4.23,20.50%,1.27,97,95,93,5.92,4.43
,Caden Dana,,,##,##,702674,LAA,AL,-7.5,96,80%,#N/A,4.88,20.90%,1.41,#N/A,#N/A,#N/A,#N/A,#N/A
,Cal Quantrill,,,,,615698,,,-2.7,0,81%,6.96%,4.98,17.40%,1.44,89,106,93,3.29,4.75
,Carlos Carrasco,,,,,471911,ATL,NL,#N/A,0,59%,9.26%,5.13,15.60%,1.42,81,103,88,3.46,4.13
,Carson Fulmer,,,,,608334,#N/A,,#N/A,0,#N/A,#N/A,4.93,16.50%,1.47,#N/A,#N/A,#N/A,#N/A,#N/A
,Carson Spiers,,,,,686730,#N/A,,#N/A,0,70%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Carson Whisenhunt,,,,,687931,SFG,NL,-3.3,0,78%,0.00%,4.3,20.80%,1.34,0,0,0,3.6,5.93
,Casey Kelly,,,,,543391,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Chad Patrick,##,95,87,87,694477,MIL,NL,3.7,131,83%,11.59%,4.21,22.00%,1.26,98,98,98,3.16,4.29
,Charlie Morton,,,##,##,450203,,,#N/A,48,68%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Chayce McDermott,,,##,,694646,BAL,AL,#N/A,0,74%,#N/A,4.66,23.80%,1.44,#N/A,#N/A,#N/A,#N/A,#N/A
,Chris Flexen,,,,,623167,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Chris Paddack,,,,,663978,MIA,NL,-3,0,73%,8.06%,5.01,17.60%,1.33,89,110,100,6.96,4.75
,Cody Bradford,,,##,##,674003,TEX,AL,#N/A,84,#N/A,#N/A,4.35,20.00%,1.24,#N/A,#N/A,#N/A,#N/A,#N/A
,Cole Irvin,,,,,608344,#N/A,,#N/A,0,#N/A,#N/A,5.29,13.80%,1.47,#N/A,#N/A,#N/A,#N/A,#N/A
,Colton Gordon,,,,,676467,HOU,AL,#N/A,0,85%,16.00%,4.65,18.90%,1.28,97,104,101,11.57,3.66
,Connor Gillispie,,,,,687362,#N/A,,#N/A,0,79%,#N/A,5.55,16.70%,1.44,#N/A,#N/A,#N/A,#N/A,#N/A
,Cooper Criswell,,,,,681867,NYM,NL,#N/A,0,#N/A,12.40%,3.84,19.30%,1.28,101,112,110,3.52,3.42
,Dakota Hudson,,,,,641712,#N/A,,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Dane Dunning,,,,,641540,SEA,AL,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Darren McCaughan,,,,,670766,#N/A,,#N/A,0,#N/A,#N/A,5.46,16.80%,1.44,#N/A,#N/A,#N/A,#N/A,#N/A
,David Festa,,,##,##,701581,MIN,AL,-0.7,55,77%,#N/A,4.12,24.10%,1.28,#N/A,#N/A,#N/A,#N/A,#N/A
,DJ Herz,,,,,687792,WSN,NL,#N/A,0,#N/A,#N/A,4.26,23.50%,1.34,#N/A,#N/A,#N/A,#N/A,#N/A
,DL Hall,,,,,669084,MIL,NL,#N/A,0,#N/A,6.35%,4,23.10%,1.36,103,90,93,2.03,4.92
,Drew Anderson,,,##,##,623454,DET,AL,#N/A,71,#N/A,19.70%,3.51,26.20%,1.25,100,101,102,3.88,3.13
,Drew Thorpe,,,,,689672,CHW,AL,#N/A,0,#N/A,#N/A,4.77,17.60%,1.39,#N/A,#N/A,#N/A,#N/A,#N/A
,Easton Lucas,,,,,687922,#N/A,,#N/A,0,75%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Elvin Rodriguez,,,,,660730,#N/A,,#N/A,0,74%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Erick Fedde,,,,,607200,CHW,AL,-10.1,0,84%,6.23%,4.98,16.90%,1.43,90,106,97,4.5,4.95
,German Marquez,,,,,608566,0,,-4.5,0,59%,5.47%,5.03,16.70%,1.42,86,101,87,5.76,5.36
,Gunnar Hoglund,,,,,680684,ATH,AL,#N/A,0,72%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Hogan Harris,,,,,663687,ATH,AL,#N/A,0,#N/A,10.19%,4.34,22.70%,1.4,104,97,99,3.12,4.29
,Hunter Barco,,,##,73,682995,PIT,NL,-3.5,99,#N/A,-1.67%,4.19,20.90%,1.39,102,88,91,7.71,5.73
,Hunter Dobbins,,,##,##,690928,STL,NL,-0.9,90,71%,16.44%,4.48,17.40%,1.39,101,104,102,3.63,3.53
,Jacob Latz,,,##,85,656641,TEX,AL,6.9,95,#N/A,23.33%,3.83,24.50%,1.31,108,98,104,1.62,2.77
,Jakob Junis,,,,,596001,0,,#N/A,0,#N/A,14.16%,4.15,19.90%,1.25,92,112,103,1.84,3.68
,Jason Alexander,,,##,##,669920,HOU,AL,#N/A,52,78%,7.14%,4.77,16.10%,1.41,90,96,86,9.33,4.73
,Joe Ross,,,,,605452,0,,#N/A,0,#N/A,-3.13%,4.82,16.60%,1.41,88,100,93,10.8,6.03
