Name,Team,POS,ADP,PA,mRBI,mR,mSB,mHR,mOBP,mSLG,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tyler Callihan","CIN","2B",999,6.5682,-5.753997644977605,-2.211922450377268,-3.298504894487718,-7.607640461226937,-8.734622848340875,-5.742677778910617,-33.349366078321026,10.548401074342712,-21.800965003978316,"Tyler Callihan","sa1169610",682997
"Billy Hamilton",,"OF",999,13.2654,-5.773957464858989,-2.2655041710731005,-3.3924521911626306,-7.617944933605996,-8.817633936060286,-5.8972266269412765,-33.76471932370227,10.952773682993152,-21.811945640709123,"Billy Hamilton","10199",571740
"Vidal Bruján","CHC","2B/SS/OF",674.1500244140625,102.809,-5.389148148831774,-2.209013557685206,-2.205121243760131,-7.265944208125375,-7.8602519629338605,-6.141970009490416,-31.071449130826768,8.249348287438142,-21.822100843388625,"Vidal Brujan","20536",660644
"David Bote","LAD","3B",999,26.5631,-5.601538692367569,-2.1870965388312475,-3.293940709737145,-7.424348181452349,-8.594277048617593,-5.723847623766367,-32.825048794772265,9.999050411575308,-21.82599838319696,"David Bote","14593",623520
"Tyler Wade","SDP","3B/OF",750.0999755859375,85.1875,-5.7261937716226505,-2.3335586646289785,-2.146447500398782,-7.603877915886309,-8.378344760031418,-6.6574653392697325,-32.845887951837874,9.999050411575308,-21.846837540262563,"Tyler Wade","15730",642180
"Brett Wisely","SFG","2B/SS",748.4500122070312,134.495,-5.297818268769638,-2.258459581164265,-2.5610428348494763,-7.054316948323529,-7.8027656920255115,-6.160707218228074,-31.135110543360497,8.249348287438142,-21.885762255922355,"Brett Wisely","27735",689172
"Brett Harris","OAK","3B",999,19.0425,-5.691794023359674,-2.1993930473601626,-3.2747814093498415,-7.508773673253394,-8.558151268116523,-5.744636976240554,-32.97753039768015,9.999050411575308,-21.978479986104837,"Brett Harris","29788",695391
"Brady House","WSN","3B",999,32.841,-5.595965562663552,-2.2535673479741822,-3.272093587785383,-7.3792640786708725,-8.74886633812607,-5.806352673724483,-33.056109588944544,9.999050411575308,-22.057059177369233,"Brady House","sa3017694",691781
"Miguel Rojas","LAD","SS",711.4299926757812,89.4819,-5.277673069918782,-2.160067288948861,-2.8338563176889098,-7.312286742691274,-7.916168190478805,-5.813305155704045,-31.313356765430676,8.249348287438142,-22.064008477992537,"Miguel Rojas","7802",500743
"Trey Lipscomb","WSN","3B",744.9000244140625,25.4448,-5.690665224316324,-2.2517820614508954,-3.1462460967287207,-7.568825350846455,-8.617803857058718,-5.8332408453017575,-33.10856343570288,9.999050411575308,-22.10951302412757,"Trey Lipscomb","31567",702358
"Nick Allen","ATL","SS",748.6300048828125,106.709,-5.388809136057977,-2.1501397970050737,-2.587072835545046,-7.437643464490308,-7.684034108056126,-6.163157829770446,-31.410857170924977,8.249348287438142,-22.161508883486835,"Nick Allen","22277",669397
"Cam Smith","HOU","3B",999,52.5456,-5.526428207994446,-2.2861503553978952,-3.1787063972997904,-7.227223501401277,-8.876506314976409,-6.074067525739481,-33.1690823028093,9.999050411575308,-22.17003189123399,"Cam Smith","sa3025358",701358
"Kevin Newman","LAA","2B/SS",672.4500122070312,212.439,-5.275083009808114,-2.4417364589790806,-1.8530479765205172,-7.417024940204764,-7.543167227707803,-7.0010280138208145,-31.531087627041096,8.249348287438142,-22.281739339602954,"Kevin Newman","17696",621028
"CJ Alexander","OAK","3B/DH",999,6.53476,-5.728397626862495,-2.207137845179627,-3.3373348118471333,-7.566790393140361,-8.754628530872678,-5.699112907687879,-33.293402115590176,9.999050411575308,-22.294351704014865,"CJ Alexander","20557",680769
"Jac Caglianone","KCR","1B",999,59.1138,-5.629490818411777,-2.398668602380648,-3.1566903827289114,-7.36313637369823,-9.106714749335488,-6.392779464918767,-34.04748039147382,10.661030898621283,-22.386449492852538,"Jac Caglianone","sa3025245",695506
"Matt Duffy",,"3B",999,52.7394,-5.684289252825078,-2.337864367734634,-3.236289302655691,-7.589877845444451,-8.423121382317994,-6.1580449622662154,-33.429487113244065,9.999050411575308,-22.430436701668754,"Matt Duffy","13836",622110
"Blaze Alexander","ARI","SS",750.6300048828125,118.198,-5.29566518446356,-2.275965909618823,-2.927727446238893,-7.14305193559974,-8.00158311542523,-6.250920520865792,-31.89491411221204,8.249348287438142,-22.645565824773897,"Blaze Alexander","23789",677942
"Daniel Schneemann","CLE","SS/OF",742.5499877929688,98.736,-5.423398592523194,-2.2936179755169737,-2.885941636651775,-7.133619967548104,-8.001956167774962,-6.188773953586649,-31.92730829360166,8.249348287438142,-22.67796000616352,"Daniel Schneemann","25180",682177
"Vinny Capra","MIL","3B/SS",999,138.043,-5.447997186130861,-2.3920197763162707,-2.864197482647157,-7.391104825269525,-7.458816055453376,-6.6198059011519526,-32.173941226969134,8.249348287438142,-22.924592939530996,"Vinny Capra","25040",681962
"Gage Workman","CHC","3B/SS",741.6199951171875,65.682,-5.478820779352045,-2.2304654782306375,-2.804868132963136,-7.287390499779703,-8.501633413136336,-5.931773611002782,-32.23495191446464,8.249348287438142,-22.9856036270265,"Gage Workman","sa3014441",669398
"Cole Young","SEA","SS",999,98.523,-5.597085235577197,-2.3426918554674354,-2.7124253203403397,-7.440621788863614,-7.813246816455615,-6.38556263337946,-32.29163365008366,8.249348287438142,-23.04228536264552,"Cole Young","sa3020459",702284
"Max Schuemann","OAK","3B/SS",636.719970703125,100.974,-5.646702695414907,-2.2985729992941963,-2.5411846099726993,-7.348993028845128,-7.925461157979993,-6.5707434062365095,-32.33165789774343,8.249348287438142,-23.082309610305288,"Max Schuemann","24488",680474
"Andrés Chaparro","WSN","DH",749.4299926757812,27.5378,-5.509175678348552,-2.175377445904,-3.3141372425626865,-7.319147153937769,-8.501617709569803,-5.563289289288603,-32.382744519611414,8.249348287438142,-23.133396232173272,"Andres Chaparro","21797",665953
"Leo Jiménez","TOR","2B/SS",999,44.6147,-5.577668575913904,-2.1968212440672605,-3.258098185140877,-7.408462493002886,-8.193922462373507,-5.811264733536925,-32.44623769403536,8.249348287438142,-23.19688940659722,"Leo Jimenez","23782",677870
"Casey Schmitt","SFG","2B/3B/SS/DH",748.0499877929688,44.939,-5.498037793882561,-2.228940060880908,-3.1913264181361893,-7.302522688870742,-8.551678267540867,-5.708364753766461,-32.480869983077724,8.249348287438142,-23.231521695639582,"Casey Schmitt","27577",669477
"Pablo Reyes","NYY","1B/2B/3B/SS/DH",999,32.7175,-5.6158006139164405,-2.1934561811878095,-3.091286442612414,-7.465732170195807,-8.433019885823049,-5.764497034342604,-32.56379232807812,8.249348287438142,-23.314444040639984,"Pablo Reyes","16357",622569
"Nasim Nuñez","WSN","SS",750.5700073242188,39.7961,-5.791793959479814,-2.218462523058168,-2.702283089260446,-7.6483464469636155,-8.273278678405218,-6.105393484651663,-32.73955818181893,8.249348287438142,-23.490209894380786,"Nasim Nunez","25979",683083
"Marco Luciano","SFG","2B/SS/DH",710.9500122070312,58.778,-5.592603765462856,-2.2718077457812,-3.192183264881391,-7.328572062982157,-8.333334286791848,-6.02509022338153,-32.74359134928098,8.249348287438142,-23.494243061842845,"Marco Luciano","25616",682617
"Matthew Lugo","LAA","SS/OF",746.030029296875,19.7046,-5.634421617166837,-2.188802410420286,-3.2306363401334393,-7.44425884610869,-8.666274928246528,-5.664776930538996,-32.829171072614784,8.249348287438142,-23.579822785176642,"Matthew Lugo","sa1169598",683090
"Leo Rivas","SEA","SS",999,45.004,-5.788365243476904,-2.257271833902177,-2.7859676129999555,-7.610123318365408,-8.210614779589498,-6.194442452882626,-32.84678524121657,8.249348287438142,-23.597436953778434,"Leo Rivas","21009",660844
"Max Muncy","OAK","SS",999,52.5456,-5.584980263552688,-2.2664583282053608,-3.1489494374972455,-7.360553980034346,-8.552778049522257,-5.953092659014156,-32.86681271782606,8.249348287438142,-23.617464430387916,"Max Muncy","sa3017290",691777
"Dustin Harris","TEX","DH",750.9199829101562,19.5561,-5.68903943181031,-2.1918794360007623,-3.1425338988322564,-7.518730113520923,-8.586365332176262,-5.755256704368415,-32.883804916708925,8.249348287438142,-23.634456629270787,"Dustin Harris","25705",687957
"Aledmys Díaz",,"1B/2B/3B/SS/OF",999,53.2864,-5.499925378685638,-2.280071116336911,-3.264397487405738,-7.349063792549756,-8.610766131573527,-5.892979291360895,-32.89720319791247,8.249348287438142,-23.647854910474326,"Aledmys Diaz","15937",649557
