"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Salary","Contract","Score","Ros","+/-"
"*04yuu*","Patrick Bailey","SF","C","588","FLA","Active","26","5","2025","47.32","-","-"
"*05gsc*","Jordan Westburg","BAL","2B,3B","589","YRK","Active","26","12","2nd","47.24","-","-"
"*01sy3*","Nolan Arenado","STL","3B","591","RR","Active","34","19","1st","47.13","-","-"
"*041ai*","Gavin Lux","CIN","2B,3B,OF","594","WEQ","Active","28","9","1st","46.9","-","-"
"*05ras*","Colton Cowser","BAL","OF","596","NJ","Active","25","10","2nd","46.7","-","-"
"*04an8*","Wenceel Perez","DET","OF,UT","599","MCM","Active","26","10","2nd","46.64","-","-"
"*05t2b*","Daylen Lile","WSH","OF","602","YRK","Active","23","5","1st","46.63","-","-"
"*05a2d*","Max Meyer","MIA","SP","603","RR","Inj Res","26","10","2nd","46.63","-","-"
"*04q0o*","Romy Gonzalez","BOS","1B,2B,3B,SS","604","ROX","Active","29","6","1st","46.61","-","-"
"*04efc*","Tyler Freeman","CLE/COL","2B,3B,OF","607","ECH","Active","26","11","1st","46.55","-","-"
"*0311f*","Victor Caratini","HOU","C,1B","609","MFR","Active","32","5","1st","46.4","-","-"
"*05rch*","Colson Montgomery","CHW","3B,SS","610","TSN","Active","23","8","1st","46.39","-","-"
"*031b2*","Jonah Heim","TEX","C","613","RUM","Active","30","6","2025","46.15","-","-"
"*06650*","Hayden Birdsong","SF","SP,RP","614","LIL","Minors","24","8","2nd","46.13","-","-"
"*02mwq*","Zach Eflin","BAL","SP","615","LEX","Inj Res","31","4","2025","46.09","-","-"
"*030vs*","Kirby Yates","LAD","RP","616","LIL","Active","38","10","2nd","46.08","-","-"
"*04azv*","Jake Burger","TEX","1B,3B","618","MFR","Active","29","6","2026","46.04","-","-"
"*04efa*","Daulton Varsho","TOR","OF","619","LEX","Active","29","7","1st","45.89","-","-"
