Name,Team,POS,ADP,PA,mRBI,mR,mSB,mHR,mOBP,mSLG,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Mickey Moniak","LAA","OF",585.6500244140625,269.362,-8.510540785596937,-8.348771297495697,-1.8305653563283546,-5.301286794386595,-3.1853428259827177,-1.32735961861301,-28.50386667840332,12.277191499022852,-15.226675179380464,"Mickey Moniak","19956",666160
"Lenyn Sosa","CHW","2B/3B",455.2200012207031,290.597,-8.210489580893743,-8.407317294999187,-2.628925236799133,-5.447045487019861,-2.5838095558021865,-1.4498215918862425,-28.727408747400354,12.255253069645287,-15.472155677755065,"Lenyn Sosa","22896",672820
"Dairon Blanco","KCR","OF",677.8200073242188,162.975,-11.555957725140694,-10.055266146015901,2.6285252155920507,-8.129402790477636,-0.533734516037375,-1.308414246995005,-28.95425020907456,12.277191499022852,-15.67705871005171,"Dairon Blanco","19779",680118
"Jace Jung","DET","3B",455.9800109863281,322.614,-8.396870861706326,-7.519725970992261,-2.7899368195215257,-6.1028759236863985,-0.5873602985198355,-3.0120726200165717,-28.408842494442926,11.387504937233034,-16.02133755720989,"Jace Jung","31437",690291
"Brendan Rodgers","HOU","2B",531.3800048828125,331.94,-7.679435516926087,-7.403156922850783,-3.095987630036532,-6.15066705741929,-2.2696676871582646,-2.7322415274749825,-29.33115634186594,12.255253069645287,-16.075903272220653,"Brendan Rodgers","17907",663898
"Eguy Rosario","SDP","3B",655.780029296875,244.192,-9.229332100802953,-8.633700718201395,-1.6651743166465716,-6.05989802534323,-1.681269867591299,-1.2806362344659763,-28.550011263051427,11.387504937233034,-16.162506325818402,"Eguy Rosario","19964",666703
"Oliver Dunn","MIL","3B",719.1300048828125,320.746,-8.435684887916178,-7.320615841707883,-1.2425367923487807,-5.859873140144074,-2.2296013349822656,-3.4774173767960197,-28.565729373895202,11.387504937233034,-16.17822443666217,"Oliver Dunn","26295",686554
"Josh Rojas","CHW","3B",539.9500122070312,323.122,-8.735817149775485,-7.661208867502685,-0.9900134495585765,-6.881932538811984,-0.9217791526439691,-3.456834726181535,-28.64758588447424,11.387504937233034,-16.260080947241203,"Josh Rojas","19734",668942
"Tirso Ornelas","SDP","OF",999,289.001,-8.714568209294582,-8.03613668785907,-2.5199525657282704,-6.364492267193946,-1.6022408338435645,-2.313376705560954,-29.550767269480385,12.277191499022852,-16.273575770457533,"Tirso Ornelas","sa3004048",672359
"Will Brennan","CLE","OF",671.72998046875,265.193,-9.333248146908378,-8.7815785470776,-1.758575388041188,-7.394857533362379,-0.6440079355102257,-1.6510510634574318,-29.5633186143572,12.277191499022852,-16.286127115334352,"Will Brennan","25660",686823
"Gio Urshela","OAK","3B",517.8400268554688,344.908,-7.611783670491184,-7.373325587268263,-2.938325080946134,-6.419780292287717,-1.7148467470397932,-2.6615371947911353,-28.71959857282423,11.387504937233034,-16.332093635591193,"Gio Urshela","10681",570482
"Tyler Freeman","CLE","OF",721.72998046875,236.291,-10.173378936918803,-8.922917134991762,-1.304565632140769,-7.547644752059508,0.1703064023583124,-1.839163065377832,-29.617363119130363,12.277191499022852,-16.340171620107512,"Tyler Freeman","22532",671289
"Luis Urías","OAK","3B",742.1099853515625,304.581,-8.72181317510495,-7.749568333810113,-2.5930303689579777,-6.014577081871534,-0.7305829377656973,-2.96071663381664,-28.77028853132691,11.387504937233034,-16.382783594093876,"Luis Urias","16622",649966
"Griffin Conine","MIA","OF",705.5800170898438,299.136,-8.301878822502113,-8.176484356745567,-3.0813892468093513,-5.026593594294862,-2.738200017707068,-2.5042982252311643,-29.82884426329013,12.277191499022852,-16.551652764267278,"Griffin Conine","21626",665052
"Kyle Farmer","COL","2B/3B",644.3499755859375,259.497,-9.408852858317005,-8.6563262445439,-2.1450603490936184,-6.811523382756546,-1.1653050443591668,-1.692985289344031,-29.88005316841427,12.255253069645287,-16.62480009876898,"Kyle Farmer","14813",571657
